,Period (days),Amplitude,
1,1224.7,4.4093,3.088029718
2,470.91,9.1981,2.672937913
3,408.02,11.707,2.610681452
4,288.73,5.6638,2.460491911
5,205.66,4.171,2.313149831
6,167.45,3.5915,2.223885152
7,137.09,4.4333,2.137005776
8,114.13,3.0371,2.057399817
9,110.05,4.7904,2.041590047
10,93.799,4.5735,1.972198208
11,84.473,1.4408,1.926717918
12,80.277,2.5654,1.904591134
13,70.717,0.7505,1.849523828
14,65.477,2.3721,1.816088773
15,60.329,1.4844,1.780526127
16,55.153,2.3592,1.74156914
17,53.786,4.6431,1.730669248
18,51.794,3.5062,1.714279452
19,48.587,1.7023,1.686520084
20,45.007,2.3711,1.653280065
21,43.81,2.3166,1.641573253
22,40.784,1.4157,1.610489818
23,39.252,1.1427,1.59386179
24,37.467,1.6253,1.57364892
25,35.647,0.99264,1.552022986
26,34.175,1.6694,1.533708523
27,33.671,2.667,1.527256015
28,31.919,1.0401,1.504049277
29,31.156,0.76156,1.493541695
30,29.74,2.3479,1.473340964
31,29.074,2.0429,1.463504786
32,27.772,1.8059,1.443607157
33,26.834,0.72356,1.428685415
34,26.167,2.3941,1.417753934
35,25.387,1.8592,1.404611383
36,24.607,2.9526,1.391058669
37,24.072,4.436,1.381512175
38,23.701,2.423,1.37476667
39,23.005,3.7043,1.361822238
40,22.263,2.0372,1.347583686
41,21.678,2.5698,1.336019212
42,20.813,5.8768,1.318334684
43,20.76,3.2404,1.317227349
44,20.737,8.7127,1.316745928
45,20.263,2.5236,1.306703744
46,19.657,1.4325,1.293517238
47,19.145,1.5144,1.282055371
48,18.652,1.0789,1.270725407
49,18.294,1.8175,1.262308675
50,17.807,3.4837,1.250590759
51,17.49,2.1729,1.242789809
52,16.982,2.37,1.229988837
53,16.701,3.4038,1.222742476
54,16.628,3.1913,1.220840016
55,16.309,0.5764,1.212427333
56,15.95,2.7898,1.202760687
57,15.647,0.99558,1.194431083
58,15.366,3.7863,1.186560829
59,15.064,1.7318,1.177940307
60,14.783,2.4851,1.169762577
61,14.49,1.6445,1.161068385
62,14.265,3.1663,1.154271776
63,14.079,2.9661,1.148571809
64,13.901,1.6535,1.143046043
65,13.615,2.4068,1.134017646
66,13.417,2.06,1.12765542
