Period (days),Amplitude
1396.1,1.3484
387.01,6.7063
306.38,0.66998
206.41,5.0147
167.4,1.8549
130.13,6.16
119.19,3.9561
99.991,3.8789
90.379,2.231
79.08,3.5862
76.759,2.6942
68.263,2.1298
62.673,1.3034
58.053,1.6054
52.899,1.0333
49.352,1.3328
47.795,2.3873
45.042,1.8383
42.605,1.3431
40.02,3.8373
39.037,3.3784
36.195,4.7434
35.552,2.8096
33.777,0.74534
31.974,1.4837
30.824,0.52995
29.275,2.7668
28.948,2.7226
27.462,2.495
26.439,1.1287
25.827,1.9581
24.876,1.1318
23.887,5.2682
23.589,6.4077
22.995,4.8657
22.313,2.533
21.654,4.1286
20.954,0.85851
20.363,3.4547
19.66,4.9082
19.658,1.3587
19.079,1.7328
18.696,1.6422
18.118,3.0391
17.643,2.5
17.19,4.1101
16.942,1.0476
16.495,3.3936
16.173,2.4131
15.816,4.3295
15.794,2.2344
15.352,4.5324
15.018,3.1556
14.777,2.2361
14.416,1.6326
14.254,3.4395
13.929,2.109
13.733,2.2196
13.486,2.5497
13.19,3.8323
13.124,3.0632
12.879,2.7473
12.627,2.3323
12.409,0.67246
12.207,2.0917
12.025,2.0357
11.873,2.0425
11.757,2.0657
11.475,1.7838
11.405,1.3763
11.095,2.2489
11.069,1.5685
10.849,2.291
10.698,3.4525
10.595,2.3452
10.429,1.6313
10.282,1.8045
10.191,2.0941
10.129,1.0603
10.012,1.818
9.8432,2.2322
9.7316,0.99021
9.5848,1.7839
9.4848,0.37218
9.3545,1.7086
9.2399,0.30017
9.1321,1.7095
9.0221,1.2845
8.9074,2.9665
8.7969,1.5603
8.713,1.5645
8.6977,1.2503
8.5724,0.70641
8.4826,1.8062
8.377,1.4112
8.289,3.2005
8.1838,1.2179
8.1204,1.4234
7.9934,4.627
7.9829,2.2462
7.8862,0.90858
7.8167,0.93548
7.721,1.3394
7.6496,1.114
7.5645,2.0985
7.4843,1.0326
7.4208,3.5208
7.4095,0.89464
7.3291,1.3132
7.2521,1.8975
7.1895,3.6995
7.1111,1.6033
7.0727,1.1695
6.9915,2.1357
6.9361,1.189
6.8624,2.2571
6.8055,2.0474
6.7604,2.5604
6.7026,1.9722
6.6414,3.1657
6.5982,0.83309
6.5234,1.6786
6.4745,0.65954
6.419,1.179
6.3501,1.9774
6.3029,1.1358
6.2525,5.5185
6.2093,3.9371
6.1481,2.8938
6.1405,4.9329
6.0872,1.2167
6.0247,1.6167
6.0019,1.781
5.9406,1.2907
5.9007,2.6957
5.8531,2.0542
5.8095,2.0663
5.7702,0.99127
5.7087,1.3732
5.6797,2.5251
5.621,2.9513
5.5907,3.1988
5.5395,0.96292
5.5115,2.8835
5.4943,1.3725
5.4441,2.1673
5.4063,2.994
5.3664,2.8475
5.3309,1.0992
5.2935,0.4985
5.2533,1.4996
5.2483,3.5938
5.2032,2.7752
5.173,1.0709
5.1244,1.929
5.1137,3.5747
5.0911,0.33935
5.0418,1.0677
5.0171,0.6759
4.9727,1.2943
4.9395,0.45988
4.9366,0.60683
4.8959,1.2331
4.8677,0.44524
4.8253,1.8935
4.8116,1.9709
4.7736,1.3272
4.737,0.73384
4.7145,1.0963
4.6857,0.99192
4.6506,1.3049
4.6255,1.1373
4.6039,0.79893
4.5761,0.7466
4.5503,0.37825
4.5178,1.2607
4.4902,0.67228
4.4571,0.38692
4.433,0.65849
4.4219,0.78381
4.406,1.0183
