Period (days),Log of Amplitude
1.955993006,2.000790608
1.957349267,2.003146043
1.958706468,2.005493658
1.960064611,2.007833449
1.961423695,2.010165414
1.962783722,2.012489548
1.964144691,2.014805851
1.965506605,2.017114317
1.966869462,2.019414945
1.968233265,2.021707731
1.969598013,2.023992673
1.970963708,2.026269768
1.972330349,2.028539013
1.973697938,2.030800406
1.975066476,2.033053944
1.976435962,2.035299624
1.977806398,2.037537445
1.979177784,2.039767404
1.980550121,2.041989499
1.98192341,2.044203728
1.983297651,2.046410088
1.984672845,2.048608578
1.986048992,2.050799196
1.987426093,2.052981939
1.98880415,2.055156806
1.990183161,2.057323796
1.99156313,2.059482906
1.992944054,2.061634136
1.994325937,2.063777483
1.995708777,2.065912946
1.997092577,2.068040524
1.998477336,2.070160216
1.999863055,2.072272021
2.001249735,2.074375936
2.002637376,2.076471963
2.00402598,2.078560098
2.005415547,2.080640342
2.006806077,2.082712694
2.008197571,2.084777153
2.00959003,2.086833719
2.010983454,2.08888239
2.012377845,2.090923167
2.013773203,2.092956049
2.015169528,2.094981036
2.016566821,2.096998127
2.017965083,2.099007323
2.019364315,2.101008623
2.020764517,2.103002028
2.022165689,2.104987537
2.023567834,2.106965151
2.02497095,2.10893487
2.02637504,2.110896694
2.027780103,2.112850625
2.02918614,2.114796661
2.030593152,2.116734805
2.03200114,2.118665057
2.033410104,2.120587417
2.034820045,2.122501887
2.036230964,2.124408467
2.037642861,2.126307158
2.039055737,2.128197963
2.040469593,2.130080881
2.041884429,2.131955914
2.043300246,2.133823065
2.044717045,2.135682333
2.046134826,2.137533721
2.04755359,2.139377231
2.048973338,2.141212863
2.050394071,2.143040621
2.051815788,2.144860507
2.053238491,2.146672521
2.054662181,2.148476667
2.056086858,2.150272946
2.057512523,2.152061361
2.058939176,2.153841915
2.060366819,2.155614609
2.061795452,2.157379447
2.063225075,2.159136431
2.064655689,2.160885564
2.066087295,2.16262685
2.067519895,2.16436029
2.068953487,2.166085888
2.070388073,2.167803648
2.071823654,2.169513572
2.073260231,2.171215664
2.074697804,2.172909928
2.076136373,2.174596367
2.07757594,2.176274984
2.079016505,2.177945785
2.080458069,2.179608771
2.081900633,2.181263948
2.083344196,2.18291132
2.084788761,2.184550891
2.086234328,2.186182665
2.087680896,2.187806646
2.089128468,2.189422839
2.090577044,2.191031249
2.092026623,2.19263188
2.093477208,2.194224738
2.094928799,2.195809827
2.096381397,2.197387151
2.097835001,2.198956717
2.099289614,2.20051853
2.100745235,2.202072594
2.102201865,2.203618916
2.103659506,2.205157501
2.105118157,2.206688354
2.106577819,2.208211482
2.108038494,2.20972689
2.109500181,2.211234584
2.110962882,2.21273457
2.112426598,2.214226856
2.113891328,2.215711446
2.115357074,2.217188347
2.116823836,2.218657566
2.118291615,2.22011911
2.119760412,2.221572986
2.121230227,2.223019199
2.122701061,2.224457758
2.124172916,2.225888669
2.12564579,2.22731194
2.127119687,2.228727577
2.128594605,2.230135589
2.130070546,2.231535984
2.13154751,2.232928767
2.133025498,2.234313949
2.134504511,2.235691535
2.13598455,2.237061535
2.137465615,2.238423957
2.138947707,2.239778809
2.140430826,2.241126099
2.141914974,2.242465836
2.143400151,2.243798028
2.144886358,2.245122685
2.146373595,2.246439814
2.147861864,2.247749426
2.149351164,2.249051529
2.150841497,2.250346133
2.152332864,2.251633246
2.153825264,2.252912879
2.1553187,2.254185041
2.156813171,2.255449741
2.158308678,2.256706991
2.159805222,2.257956798
2.161302804,2.259199175
2.162801424,2.26043413
2.164301084,2.261661675
2.165801783,2.262881819
2.167303523,2.264094574
2.168806304,2.26529995
2.170310127,2.266497958
2.171814993,2.26768861
2.173320902,2.268871915
2.174827856,2.270047887
2.176335854,2.271216535
2.177844898,2.272377871
2.179354988,2.273531908
2.180866126,2.274678657
2.182378311,2.275818129
2.183891545,2.276950338
2.185405828,2.278075294
2.186921161,2.279193011
2.188437544,2.280303501
2.18995498,2.281406777
2.191473467,2.282502851
2.192993007,2.283591736
2.194513601,2.284673446
2.196035249,2.285747993
2.197557953,2.28681539
2.199081712,2.287875652
2.200606527,2.288928791
2.2021324,2.289974822
2.203659331,2.291013758
2.205187321,2.292045613
2.20671637,2.293070402
2.20824648,2.294088138
2.20977765,2.295098837
2.211309882,2.296102512
2.212843177,2.297099179
2.214377535,2.298088851
2.215912956,2.299071546
2.217449442,2.300047276
2.218986994,2.301016058
2.220525612,2.301977908
2.222065297,2.30293284
2.223606049,2.303880871
2.225147869,2.304822016
2.226690759,2.305756291
2.228234718,2.306683713
2.229779748,2.307604298
2.23132585,2.308518062
2.232873023,2.309425022
2.234421269,2.310325195
2.235970589,2.311218598
2.237520983,2.312105248
2.239072452,2.312985162
2.240624997,2.313858357
2.242178618,2.314724852
2.243733316,2.315584663
2.245289093,2.316437809
2.246845948,2.317284307
2.248403883,2.318124177
2.249962898,2.318957435
2.251522994,2.319784102
2.253084172,2.320604194
2.254646432,2.321417732
2.256209776,2.322224734
2.257774204,2.32302522
2.259339716,2.323819208
2.260906314,2.324606718
2.262473998,2.325387769
2.264042769,2.326162382
2.265612628,2.326930577
2.267183575,2.327692373
2.268755612,2.328447791
2.270328739,2.329196851
2.271902956,2.329939574
2.273478265,2.330675981
2.275054666,2.331406092
