imag,real,log(imag),log(real)
0.61678,0.7906,0.66251,0.0027232
-0.61678,0.7906,-0.66251,0.0027232
0.63419,0.77667,0.68475,0.0026964
-0.63419,0.77667,-0.68475,0.0026964
0.64805,0.76664,0.70176,0.0038397
-0.64805,0.76664,-0.70176,0.0038397
0.6644,0.7454,0.728,-0.0014775
-0.6644,0.7454,-0.728,-0.0014775
0.68449,0.73141,0.75228,0.0017379
-0.68449,0.73141,-0.75228,0.0017379
0.67084,0.73913,0.737,-0.0018337
-0.67084,0.73913,-0.737,-0.0018337
0.69644,0.7183,0.76995,0.00049252
-0.69644,0.7183,-0.76995,0.00049252
0.6899,0.72321,0.76183,-0.00050381
-0.6899,0.72321,-0.76183,-0.00050381
0.65504,0.75293,0.71598,-0.0020089
-0.65504,0.75293,-0.71598,-0.0020089
0.70504,0.70842,0.78301,-0.00053443
-0.70504,0.70842,-0.78301,-0.00053443
0.67501,0.73154,0.74523,-0.0046216
-0.67501,0.73154,-0.74523,-0.0046216
0.70375,0.70346,0.78561,-0.0049667
-0.70375,0.70346,-0.78561,-0.0049667
0.71467,0.6969,0.79799,-0.0017905
-0.71467,0.6969,-0.79799,-0.0017905
0.71918,0.69366,0.80346,-0.00080937
-0.71918,0.69366,-0.80346,-0.00080937
0.64822,0.75585,0.70889,-0.0042746
-0.64822,0.75585,-0.70889,-0.0042746
0.72477,0.68394,0.81437,-0.0034831
-0.72477,0.68394,-0.81437,-0.0034831
0.73588,0.67543,0.8282,-0.0011351
-0.73588,0.67543,-0.8282,-0.0011351
0.78394,0.62281,0.89944,0.0012203
-0.78394,0.62281,-0.89944,0.0012203
0.73958,0.66769,0.83644,-0.0036196
-0.73958,0.66769,-0.83644,-0.0036196
0.7711,0.63653,0.88071,-0.00012069
-0.7711,0.63653,-0.88071,-0.00012069
0.6372,0.76625,0.6937,-0.0034272
-0.6372,0.76625,-0.6937,-0.0034272
0.74775,0.6604,0.84735,-0.0023753
-0.74775,0.6604,-0.84735,-0.0023753
0.75062,0.65596,0.8526,-0.0031511
-0.75062,0.65596,-0.8526,-0.0031511
0.75856,0.6473,0.86437,-0.0028013
-0.75856,0.6473,-0.86437,-0.0028013
0.62959,-0.77679,2.4605,-0.00010724
-0.62959,-0.77679,-2.4605,-0.00010724
0.63712,-0.77089,2.4509,9.67E-05
-0.63712,-0.77089,-2.4509,9.67E-05
0.64535,-0.76658,2.4419,0.0020577
-0.64535,-0.76658,-2.4419,0.0020577
0.68239,-0.73465,2.3931,0.0026741
-0.68239,-0.73465,-2.3931,0.0026741
0.67684,-0.73489,2.3973,-0.00091375
-0.67684,-0.73489,-2.3973,-0.00091375
0.66804,-0.74325,2.4094,-0.00064979
-0.66804,-0.74325,-2.4094,-0.00064979
0.68636,-0.72403,2.3829,-0.0023442
-0.68636,-0.72403,-2.3829,-0.0023442
0.69753,-0.71674,2.3698,0.00012968
-0.69753,-0.71674,-2.3698,0.00012968
0.71438,-0.70229,2.3477,0.0017723
-0.71438,-0.70229,-2.3477,0.0017723
0.70373,-0.70624,2.358,-0.0030028
-0.70373,-0.70624,-2.358,-0.0030028
0.7306,-0.68222,2.322,-0.00039733
-0.7306,-0.68222,-2.322,-0.00039733
0.73835,-0.6749,2.3113,0.00032495
-0.73835,-0.6749,-2.3113,0.00032495
0.72433,-0.68855,2.3309,-0.00062312
-0.72433,-0.68855,-2.3309,-0.00062312
0.74717,-0.66685,2.2995,0.0014724
-0.74717,-0.66685,-2.2995,0.0014724
